date,kp_0h,kp_3h,kp_6h,kp_9h,kp_12h,kp_15h,kp_18h,kp_21h
04/01/2000,1,2,3,3,4,3,2,3
05/01/2000,3,3,3,3,3,3,3,4
06/01/2000,2,3,1,3,5,4,3,3
07/01/2000,3,2,1,3,2,2,2,2
08/01/2000,1,1,2,3,2,2,2,1
09/01/2000,1,0,0,0,1,1,1,2
10/01/2000,1,1,1,1,1,2,2,3
11/01/2000,2,1,1,2,3,4,5,4
12/01/2000,3,3,2,2,1,2,3,2
13/01/2000,2,2,3,3,2,3,2,2
14/01/2000,2,2,0,1,2,3,3,2
15/01/2000,2,1,1,1,2,2,2,2
16/01/2000,2,1,0,1,2,2,2,3
17/01/2000,1,0,1,1,1,2,2,1
18/01/2000,0,0,0,1,1,3,2,2
19/01/2000,0,0,0,0,0,2,2,3
20/01/2000,2,1,3,3,3,3,3,2
21/01/2000,1,0,0,0,1,1,1,1
22/01/2000,2,2,2,4,4,4,5,4
23/01/2000,5,5,2,4,4,3,2,2
24/01/2000,1,3,4,4,3,3,3,2
25/01/2000,2,3,2,2,1,2,2,2
26/01/2000,2,4,2,0,1,2,2,2
27/01/2000,2,2,2,3,3,3,4,4
28/01/2000,4,5,4,4,5,3,3,4
29/01/2000,3,4,4,4,5,4,4,3
30/01/2000,2,2,3,2,3,2,4,1
31/01/2000,3,2,2,2,3,3,2,2
01/02/2000,3,1,2,1,3,3,2,2
02/02/2000,3,1,0,2,3,3,2,1
03/02/2000,1,1,3,2,2,2,3,3
04/02/2000,2,0,2,0,2,1,2,1
05/02/2000,0,0,0,1,1,3,4,4
06/02/2000,4,4,4,5,4,4,3,4
07/02/2000,4,3,3,4,5,4,4,3
08/02/2000,3,3,1,3,2,3,3,3
09/02/2000,1,3,2,1,4,4,3,2
10/02/2000,2,2,2,1,2,2,2,3
11/02/2000,3,4,2,3,3,3,3,3
12/02/2000,5,4,5,7,6,5,4,2
13/02/2000,3,2,3,4,3,4,3,3
14/02/2000,3,4,4,5,6,4,3,3
15/02/2000,3,4,2,1,2,2,3,2
16/02/2000,2,2,0,1,2,2,2,0
17/02/2000,0,0,1,3,3,2,2,2
18/02/2000,0,0,1,0,1,1,1,1
19/02/2000,0,0,2,3,0,1,1,1
20/02/2000,1,0,3,1,0,0,2,3
21/02/2000,3,4,3,2,3,4,3,2
22/02/2000,1,2,0,1,2,2,2,1
23/02/2000,3,0,1,2,4,4,2,2
24/02/2000,2,4,4,5,4,4,4,4
25/02/2000,3,4,4,3,4,3,2,3
26/02/2000,3,2,4,3,2,3,3,3
27/02/2000,3,1,2,3,2,3,3,2
28/02/2000,3,3,3,2,4,3,2,2
29/02/2000,0,1,3,3,2,2,2,1
01/03/2000,2,3,4,4,4,4,3,3
02/03/2000,4,3,2,1,2,2,2,2
03/03/2000,1,0,0,1,2,3,2,2
04/03/2000,1,0,0,0,2,3,2,2
05/03/2000,2,2,1,2,2,2,2,3
06/03/2000,2,2,3,3,3,3,3,3
